,precision,recall,f1-score,support
lying,0.9733471789546556,0.9613675213675213,0.9673202614379085,2925.0
sitting,0.7594142259414226,0.7557251908396947,0.7575652173913043,2882.0
standing,0.7786407766990291,0.8139377537212449,0.7958981144558386,2956.0
walking,0.9602710194025255,0.838848533763788,0.8954623779437105,3717.0
running,0.9422572178477691,0.9410222804718218,0.9416393442622951,1526.0
cycling,0.9472874182377837,0.9605930550136559,0.9538938395970554,2563.0
nordic_walking,0.9789621318373072,0.953551912568306,0.9660899653979239,2928.0
ascending_stairs,0.6459209419680404,0.8495575221238938,0.7338748208313426,1808.0
descending_stairs,0.796076099881094,0.8296158612143743,0.8125,1614.0
vacuum_cleaning,0.9048806555040969,0.9310850439882697,0.9177958446251129,2728.0
ironing,0.8912543153049483,0.8332436793975255,0.8612732832916319,3718.0
rope_jumping,0.9348441926345609,0.8764940239043825,0.9047292666209733,753.0
accuracy,0.8757885649777541,0.8757885649777541,0.8757885649777541,0.8757885649777541
macro avg,0.8760963478511027,0.8787535315312064,0.8756701946545915,30118.0
weighted avg,0.8824514456439649,0.8757885649777541,0.8775399800961798,30118.0
