,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2812,79,14,0,0,1,3,1,0,4,11,0
sitting,55,2178,416,3,0,5,4,26,4,26,165,0
standing,0,386,2406,13,4,7,5,27,4,9,95,0
walking,0,0,4,3118,13,0,0,514,46,10,10,2
running,0,0,5,12,1436,15,12,13,27,0,5,1
cycling,0,0,6,2,0,2462,10,16,44,18,5,0
nordic_walking,0,1,13,26,0,8,2792,40,39,2,6,1
ascending_stairs,10,5,27,34,19,6,4,1536,144,14,6,3
descending_stairs,0,3,7,32,29,23,1,139,1339,0,2,39
vacuum_cleaning,2,27,35,5,0,15,9,24,3,2540,68,0
ironing,10,188,155,0,2,55,10,14,2,184,3098,0
rope_jumping,0,1,2,2,21,2,2,28,30,0,5,660
