,precision,recall,f1-score,support
lying,0.8651407361583668,0.9562393162393162,0.9084118220201364,2925.0
sitting,0.6273546273546273,0.7973629424011104,0.7022154316271964,2882.0
standing,0.8500382555470544,0.7516914749661705,0.7978456014362657,2956.0
walking,0.9789184234647113,0.8619854721549637,0.9167381974248927,3717.0
running,0.9441696113074205,0.8754914809960681,0.9085345120707242,1526.0
cycling,0.9286253776435045,0.9594225516972298,0.9437727883323739,2563.0
nordic_walking,0.9674017257909875,0.6892076502732241,0.8049461507778221,2928.0
ascending_stairs,0.6805555555555556,0.8672566371681416,0.7626459143968871,1808.0
descending_stairs,0.7381516587677726,0.7719950433705081,0.7546941247728649,1614.0
vacuum_cleaning,0.7639240506329114,0.8848973607038123,0.8199728260869565,2728.0
ironing,0.8852959121415497,0.7805271651425497,0.8296169239565466,3718.0
rope_jumping,0.8941798941798942,0.897742363877822,0.8959575878064944,753.0
accuracy,0.8347167806627266,0.8347167806627266,0.8347167806627266,0.8347167806627266
macro avg,0.8436463190453628,0.8411516215825762,0.8371126567257634,30118.0
weighted avg,0.8504549162981629,0.8347167806627266,0.8367763586391059,30118.0
