,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2797,17,16,0,0,0,0,4,0,78,9,4
sitting,119,2298,223,5,3,9,20,7,90,16,92,0
standing,7,531,2222,3,36,0,28,15,33,9,72,0
walking,0,0,8,3204,4,0,5,339,56,96,0,5
running,3,2,12,0,1336,13,1,10,82,2,6,59
cycling,15,0,6,3,4,2459,5,2,37,32,0,0
nordic_walking,205,271,10,3,3,3,2018,51,24,340,0,0
ascending_stairs,81,13,27,11,10,1,7,1568,69,8,13,0
descending_stairs,0,1,11,21,7,10,2,288,1246,12,4,12
vacuum_cleaning,5,42,29,11,1,39,0,7,0,2414,180,0
ironing,1,483,50,2,0,113,0,12,3,152,2902,0
rope_jumping,0,5,0,10,11,1,0,1,48,1,0,676
