,precision,recall,f1-score,support
lying,0.9377562430115542,0.8601709401709402,0.8972895863052782,2925.0
sitting,0.635632183908046,0.7675225537820958,0.6953788116944357,2882.0
standing,0.8123682361208714,0.7821380243572396,0.7969665632540504,2956.0
walking,0.9737991266375546,0.839924670433145,0.9019211324570273,3717.0
running,0.8649819494584837,0.7850589777195282,0.8230848505668156,1526.0
cycling,0.8022051453391246,0.9367928209129925,0.8642908567314614,2563.0
nordic_walking,0.9737058340180772,0.8094262295081968,0.8839985080193957,2928.0
ascending_stairs,0.6571928290336686,0.8313053097345132,0.734065934065934,1808.0
descending_stairs,0.550755939524838,0.7899628252788105,0.6490201068974294,1614.0
vacuum_cleaning,0.881055533674675,0.8200146627565983,0.8494399088665274,2728.0
ironing,0.855410999408634,0.7781065088757396,0.8149295774647888,3718.0
rope_jumping,0.8626760563380281,0.650730411686587,0.7418622255866768,753.0
accuracy,0.8144299090245036,0.8144299090245036,0.8144299090245036,0.8144299090245036
macro avg,0.8172950063727962,0.8042628279346987,0.8043540051591518,30118.0
weighted avg,0.8345004028246875,0.8144299090245036,0.8193436656620272,30118.0
