,lying,sitting,standing,walking,running,cycling,nordic_walking,ascending_stairs,descending_stairs,vacuum_cleaning,ironing,rope_jumping
lying,2516,336,13,24,0,0,1,7,0,8,20,0
sitting,85,2212,341,8,8,11,6,6,6,43,156,0
standing,11,492,2312,1,0,0,1,7,1,17,114,0
walking,0,0,9,3122,10,2,8,490,35,25,8,8
running,3,1,8,3,1198,19,7,13,199,4,13,58
cycling,33,5,2,0,2,2401,16,1,86,2,15,0
nordic_walking,0,11,12,1,1,17,2370,13,456,23,24,0
ascending_stairs,7,8,16,15,9,10,9,1503,183,9,32,7
descending_stairs,0,3,15,9,3,101,14,180,1275,6,3,5
vacuum_cleaning,7,46,17,23,0,253,0,16,30,2237,99,0
ironing,21,365,101,0,0,172,0,2,1,163,2893,0
rope_jumping,0,1,0,0,154,7,2,49,43,2,5,490
