Dataset,Window_Type,Evaluation_Protocol,Model,Accuracy,Macro_F1,Balanced_Accuracy,Leakage_Gap
pamap2,non_overlapping,loso,CNN1D,0.552,0.5093377129308853,0.5299842062914383,
pamap2,non_overlapping,loso,Flatten_LSTM,0.8101604278074866,0.7457069704750494,0.7484563362138125,
pamap2,non_overlapping,loso,Improved_GNN_LSTM,0.8221925133689839,0.7382168110114158,0.7483328782359376,
pamap2,non_overlapping,random_holdout,CNN1D,0.969435215946844,0.9724731576275812,0.9706945980107236,0.4174352159468438
pamap2,non_overlapping,random_holdout,Flatten_LSTM,0.8859060402684564,0.789972449415168,0.8122507122507123,0.0757456124609697
pamap2,non_overlapping,random_holdout,Improved_GNN_LSTM,0.9395973154362416,0.9199582748308388,0.91759768009768,0.1174048020672576
pamap2,overlapping,loso,CNN1D,0.7395840255166456,0.7469340415499759,0.7395347077739758,
pamap2,overlapping,loso,Flatten_LSTM,0.7916111850865513,0.7590476947736481,0.7525515666320143,
pamap2,overlapping,loso,Improved_GNN_LSTM,0.8162450066577897,0.7419518180947321,0.7562237610372028,
pamap2,overlapping,random_holdout,CNN1D,0.9936856098371551,0.9941857574536264,0.9935253249684156,0.2541015843205095
pamap2,overlapping,random_holdout,Flatten_LSTM,0.9266666666666666,0.916688001361032,0.9166959480456855,0.1350554815801153
pamap2,overlapping,random_holdout,Improved_GNN_LSTM,0.94,0.9352946384786862,0.9369172013094578,0.1237549933422103
hhar,overlapping,random_holdout,CNN1D,0.9072222222222224,0.9037115396478804,0.9035953783318994,0.2941111111111111
hhar,overlapping,loso,CNN1D,0.6131111111111112,0.6066841883099187,0.6074309128178971,
hhar,overlapping,random_holdout,Flatten_LSTM,0.8677777777777778,0.8685741791347824,0.8675328564605004,0.3393333333333332
hhar,overlapping,loso,Flatten_LSTM,0.5284444444444445,0.5002440660184072,0.5285757789842283,
hhar,overlapping,random_holdout,Improved_GNN_LSTM,0.9144444444444444,0.9133219073546276,0.9143182265013944,0.3804444444444443
hhar,overlapping,loso,Improved_GNN_LSTM,0.534,0.5088553702795129,0.5214179247046221,
hhar,non_overlapping,random_holdout,CNN1D,0.9048888888888889,0.9025773265183832,0.9032108183148946,0.2863555555555555
hhar,non_overlapping,loso,CNN1D,0.6185333333333334,0.6143378999972714,0.6117166932771896,
hhar,non_overlapping,random_holdout,Flatten_LSTM,0.9011111111111112,0.9014454387618498,0.901450508866718,0.3608888888888888
hhar,non_overlapping,loso,Flatten_LSTM,0.5402222222222223,0.5232381234467419,0.542032143170903,
hhar,non_overlapping,random_holdout,Improved_GNN_LSTM,0.9366666666666666,0.9365224032723902,0.9367040308683866,0.4186666666666666
hhar,non_overlapping,loso,Improved_GNN_LSTM,0.518,0.4845006477731259,0.5035142919042863,
