Dataset,Clinical_Activity_Group,Included_Activities,Sensitivity,Specificity,Macro_F1,Main_Confusion
pamap2,Ambulatory_Movement,standing; walking,0.7729709035192459,0.9786926107574344,0.8247549019607843,Ambulatory_Movement→Sedentary_or_Rest
pamap2,Postural_Activities,ironing,0.7085806799745895,0.9445286450432367,0.6736788096459723,Postural_Activities→Sedentary_or_Rest
pamap2,Sedentary_or_Rest,lying; sitting; computer_work; car_driving,0.8278848235530897,0.8809204218591745,0.7896747547754259,Sedentary_or_Rest→Postural_Activities
pamap2,Stair_or_High_Intensity_Movement,running,0.7652582159564535,0.9908503376653904,0.8211586901763224,Stair_or_High_Intensity_Movement→Sedentary_or_Rest
pamap2,Unmapped_or_Other,transient,0.8755020080262684,0.9762449280701024,0.8373879641485276,Unmapped_or_Other→Sedentary_or_Rest
pamap2,Vigorous_Activity,cycling; vacuum_cleaning; house_cleaning,0.7854682117106625,0.9652496626172694,0.8205463765745133,Vigorous_Activity→Postural_Activities
pamap2,Ambulatory_Movement,standing; walking,0.8022813687907877,0.9782082324376256,0.8423153692614771,Ambulatory_Movement→Sedentary_or_Rest
pamap2,Postural_Activities,ironing,0.7513513513107377,0.9643128321870592,0.7493261455525606,Postural_Activities→Vigorous_Activity
pamap2,Sedentary_or_Rest,lying; sitting; computer_work; car_driving,0.8528138527953937,0.90769230768358,0.8277310924369747,Sedentary_or_Rest→Postural_Activities
pamap2,Stair_or_High_Intensity_Movement,running,0.8968253967542202,0.9920058139462792,0.904,Stair_or_High_Intensity_Movement→Vigorous_Activity
pamap2,Unmapped_or_Other,transient,0.9060402683955676,0.9889135254915824,0.903010033444816,Unmapped_or_Other→Sedentary_or_Rest
pamap2,Vigorous_Activity,cycling; vacuum_cleaning; house_cleaning,0.8138801261572908,0.9527426160257152,0.8177496038034865,Vigorous_Activity→Sedentary_or_Rest
pamap2,Ambulatory_Movement,standing; walking,0.9315589353257964,0.956416464883322,0.8718861209964412,Ambulatory_Movement→Sedentary_or_Rest
pamap2,Postural_Activities,ironing,0.8810810810334551,0.971146545171062,0.844559585492228,Postural_Activities→Vigorous_Activity
pamap2,Sedentary_or_Rest,lying; sitting; computer_work; car_driving,0.8441558441375724,0.95673076922157,0.8695652173913043,Sedentary_or_Rest→Ambulatory_Movement
pamap2,Stair_or_High_Intensity_Movement,running,0.9285714284977324,0.9861918604579492,0.8931297709923665,Stair_or_High_Intensity_Movement→Vigorous_Activity
pamap2,Unmapped_or_Other,transient,0.9328859059776586,0.9896526237916508,0.9205298013245032,Unmapped_or_Other→Sedentary_or_Rest
pamap2,Vigorous_Activity,cycling; vacuum_cleaning; house_cleaning,0.7602523659066166,0.9687763712998416,0.8100840336134454,Vigorous_Activity→Ambulatory_Movement
hhar,Ambulatory_Movement,bike; walk,0.6993606312061629,0.8288995973328837,0.6816494298594538,Ambulatory_Movement→Stair_or_High_Intensity_Movement
hhar,Sedentary_or_Rest,sit; stand,0.6243001119816459,0.8580033862982358,0.6471036308897675,Sedentary_or_Rest→Stair_or_High_Intensity_Movement
hhar,Stair_or_High_Intensity_Movement,stairsup; stairsdown,0.6517176764518102,0.7992756122798208,0.6468090382171527,Stair_or_High_Intensity_Movement→Ambulatory_Movement
hhar,Ambulatory_Movement,bike; walk,0.5220938137286057,0.9184549356192854,0.6178600160901045,Ambulatory_Movement→Sedentary_or_Rest
hhar,Sedentary_or_Rest,sit; stand,0.690692792157518,0.6675350048822288,0.5743380855397149,Sedentary_or_Rest→Stair_or_High_Intensity_Movement
hhar,Stair_or_High_Intensity_Movement,stairsup; stairsdown,0.4924999999969219,0.7624137931008192,0.512187195320117,Stair_or_High_Intensity_Movement→Sedentary_or_Rest
hhar,Ambulatory_Movement,bike; walk,0.6573759347338044,0.7923407065011808,0.6305836322138898,Ambulatory_Movement→Stair_or_High_Intensity_Movement
hhar,Sedentary_or_Rest,sit; stand,0.4604618614383453,0.9071963529765316,0.554806070826307,Sedentary_or_Rest→Stair_or_High_Intensity_Movement
hhar,Stair_or_High_Intensity_Movement,stairsup; stairsdown,0.6349999999960313,0.6741379310321581,0.5706262285874755,Stair_or_High_Intensity_Movement→Ambulatory_Movement
