Dataset,Window_Type,Evaluation_Protocol,Model,Accuracy,Macro_F1,Balanced_Accuracy,Leakage_Gap
pamap2,non_overlapping,loso,CNN1D,55.20,50.93,53.00,N/A
pamap2,non_overlapping,loso,Flatten_LSTM,81.02,74.57,74.85,N/A
pamap2,non_overlapping,loso,Improved_GNN_LSTM,82.22,73.82,74.83,N/A
pamap2,non_overlapping,random_holdout,CNN1D,96.94,97.25,97.07,0.4174352159468438
pamap2,non_overlapping,random_holdout,Flatten_LSTM,88.59,79.00,81.23,0.0757456124609697
pamap2,non_overlapping,random_holdout,Improved_GNN_LSTM,93.96,92.00,91.76,0.1174048020672576
pamap2,overlapping,loso,CNN1D,73.96,74.69,73.95,N/A
pamap2,overlapping,loso,Flatten_LSTM,79.16,75.90,75.26,N/A
pamap2,overlapping,loso,Improved_GNN_LSTM,81.62,74.20,75.62,N/A
pamap2,overlapping,random_holdout,CNN1D,99.37,99.42,99.35,0.2541015843205095
pamap2,overlapping,random_holdout,Flatten_LSTM,92.67,91.67,91.67,0.1350554815801153
pamap2,overlapping,random_holdout,Improved_GNN_LSTM,94.00,93.53,93.69,0.1237549933422103
hhar,non_overlapping,loso,CNN1D,61.85,61.43,61.17,N/A
hhar,non_overlapping,loso,Flatten_LSTM,54.02,52.32,54.20,N/A
hhar,non_overlapping,loso,Improved_GNN_LSTM,51.80,48.45,50.35,N/A
hhar,non_overlapping,random_holdout,CNN1D,90.49,90.26,90.32,0.2863555555555555
hhar,non_overlapping,random_holdout,Flatten_LSTM,90.11,90.14,90.15,0.3608888888888888
hhar,non_overlapping,random_holdout,Improved_GNN_LSTM,93.67,93.65,93.67,0.4186666666666666
hhar,overlapping,loso,CNN1D,61.31,60.67,60.74,N/A
hhar,overlapping,loso,Flatten_LSTM,52.84,50.02,52.86,N/A
hhar,overlapping,loso,Improved_GNN_LSTM,53.40,50.89,52.14,N/A
hhar,overlapping,random_holdout,CNN1D,90.72,90.37,90.36,0.2941111111111111
hhar,overlapping,random_holdout,Flatten_LSTM,86.78,86.86,86.75,0.3393333333333332
hhar,overlapping,random_holdout,Improved_GNN_LSTM,91.44,91.33,91.43,0.3804444444444443
