Dataset,Perturbation,Severity,Model,Clean_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Clean_Macro_F1,Perturbed_Macro_F1,Macro_F1_Drop,Most_Affected_Class
pamap2,remove_one_sensor_node,low,CNN1D,73.96,53.24,20.72,74.69,53.63,21.06,house_cleaning
pamap2,remove_one_sensor_node,medium,CNN1D,73.96,53.24,20.72,74.69,53.63,21.06,house_cleaning
pamap2,remove_one_sensor_node,high,CNN1D,73.96,53.24,20.72,74.69,53.63,21.06,house_cleaning
pamap2,remove_heart_rate_channel,low,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,remove_heart_rate_channel,medium,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,remove_heart_rate_channel,high,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,gaussian_noise,low,CNN1D,73.96,73.96,0.00,74.69,74.69,0.01,computer_work
pamap2,gaussian_noise,medium,CNN1D,73.96,73.33,0.62,74.69,74.12,0.58,lying
pamap2,gaussian_noise,high,CNN1D,73.96,70.67,3.29,74.69,71.86,2.83,lying
pamap2,mask_random_channels,low,CNN1D,73.96,70.02,3.94,74.69,70.08,4.61,walking
pamap2,mask_random_channels,medium,CNN1D,73.96,49.95,24.01,74.69,45.50,29.19,walking
pamap2,mask_random_channels,high,CNN1D,73.96,28.56,45.40,74.69,26.07,48.63,walking
pamap2,remove_random_windows,low,CNN1D,73.96,73.87,0.09,74.69,74.60,0.09,sitting
pamap2,remove_random_windows,medium,CNN1D,73.96,73.54,0.42,74.69,74.20,0.49,sitting
pamap2,remove_random_windows,high,CNN1D,73.96,73.90,0.05,74.69,74.61,0.08,sitting
pamap2,missing_heart_rate_signals,low,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,missing_heart_rate_signals,medium,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,missing_heart_rate_signals,high,CNN1D,73.96,N/A,N/A,74.69,N/A,N/A,N/A
pamap2,remove_one_sensor_node,low,Flatten_LSTM,79.16,40.21,38.95,75.90,30.51,45.40,cycling
pamap2,remove_one_sensor_node,medium,Flatten_LSTM,79.16,40.21,38.95,75.90,30.51,45.40,cycling
pamap2,remove_one_sensor_node,high,Flatten_LSTM,79.16,40.21,38.95,75.90,30.51,45.40,cycling
pamap2,remove_heart_rate_channel,low,Flatten_LSTM,79.16,N/A,N/A,75.90,N/A,N/A,N/A
pamap2,remove_heart_rate_channel,medium,Flatten_LSTM,79.16,N/A,N/A,75.90,N/A,N/A,N/A
pamap2,remove_heart_rate_channel,high,Flatten_LSTM,79.16,N/A,N/A,75.90,N/A,N/A,N/A
pamap2,gaussian_noise,low,Flatten_LSTM,79.16,77.36,1.80,75.90,74.46,1.44,transient
pamap2,gaussian_noise,medium,Flatten_LSTM,79.16,68.64,10.52,75.90,65.29,10.61,transient
pamap2,gaussian_noise,high,Flatten_LSTM,79.16,60.12,19.04,75.90,55.23,20.67,transient
pamap2,mask_random_channels,low,Flatten_LSTM,79.16,67.84,11.32,75.90,64.36,11.55,cycling
