Subject,Dataset,Model,Accuracy,Macro_F1,Balanced_Accuracy,Worst_Activity,Dominant_Confusion,Missingness,Activity_Imbalance,Sensor_Variability
101,pamap2,CNN1D,76.86,78.04,77.50,sitting,lying→ironing,0.00,10.90,1.0017585754394531
102,pamap2,CNN1D,72.70,75.48,74.61,sitting,cycling→standing,0.00,12.40,1.0021624565124512
103,pamap2,CNN1D,79.48,63.85,79.88,walking,lying→sitting,0.00,16.67,0.9973679184913636
104,pamap2,CNN1D,75.82,75.61,76.02,walking,lying→sitting,0.00,13.82,0.9988017678260804
105,pamap2,CNN1D,83.99,84.57,84.07,lying,lying→ironing,0.00,12.17,1.0003172159194946
106,pamap2,CNN1D,85.96,78.59,80.39,house_cleaning,ironing→sitting,0.00,15.13,1.0010173320770264
107,pamap2,CNN1D,87.57,86.75,86.58,house_cleaning,sitting→lying,0.00,14.54,0.9993718862533568
108,pamap2,CNN1D,33.15,28.33,31.78,walking,standing→car_driving,0.00,12.61,0.99944669008255
109,pamap2,CNN1D,75.00,17.14,75.00,transient,house_cleaning→cycling,0.00,100.00,1.0307382345199585
101,pamap2,Flatten_LSTM,85.49,85.38,85.42,transient,transient→lying,0.00,10.90,1.0017585754394531
102,pamap2,Flatten_LSTM,76.47,67.89,72.26,car_driving,car_driving→computer_work,0.00,12.40,1.0021624565124512
103,pamap2,Flatten_LSTM,77.04,61.74,79.50,walking,ironing→vacuum_cleaning,0.00,16.67,0.9973679184913636
104,pamap2,Flatten_LSTM,80.45,69.07,78.17,walking,lying→sitting,0.00,13.82,0.9988017678260804
105,pamap2,Flatten_LSTM,78.67,77.65,78.93,car_driving,lying→transient,0.00,12.17,1.0003172159194946
106,pamap2,Flatten_LSTM,79.27,75.05,78.65,house_cleaning,walking→car_driving,0.00,15.13,1.0010173320770264
107,pamap2,Flatten_LSTM,80.00,74.91,78.51,house_cleaning,vacuum_cleaning→ironing,0.00,14.54,0.9993718862533568
108,pamap2,Flatten_LSTM,76.35,67.84,71.00,walking,walking→car_driving,0.00,12.61,0.99944669008255
109,pamap2,Flatten_LSTM,50.00,33.33,50.00,transient,house_cleaning→car_driving,0.00,100.00,1.0307382345199585
101,pamap2,Improved_GNN_LSTM,79.27,72.91,74.43,house_cleaning,car_driving→walking,0.00,10.90,1.0017585754394531
102,pamap2,Improved_GNN_LSTM,81.86,76.62,79.23,house_cleaning,house_cleaning→computer_work,0.00,12.40,1.0021624565124512
103,pamap2,Improved_GNN_LSTM,84.44,86.06,87.31,walking,lying→sitting,0.00,16.67,0.9973679184913636
104,pamap2,Improved_GNN_LSTM,84.36,75.44,82.84,walking,lying→sitting,0.00,13.82,0.9988017678260804
105,pamap2,Improved_GNN_LSTM,79.62,69.34,71.78,house_cleaning,sitting→ironing,0.00,12.17,1.0003172159194946
106,pamap2,Improved_GNN_LSTM,82.90,78.29,78.95,house_cleaning,ironing→vacuum_cleaning,0.00,15.13,1.0010173320770264
107,pamap2,Improved_GNN_LSTM,83.89,77.99,83.13,house_cleaning,vacuum_cleaning→ironing,0.00,14.54,0.9993718862533568
108,pamap2,Improved_GNN_LSTM,79.80,71.43,72.51,house_cleaning,sitting→lying,0.00,12.61,0.99944669008255
109,pamap2,Improved_GNN_LSTM,0.00,0.00,0.00,transient,house_cleaning→standing,0.00,100.00,1.0307382345199585
a,hhar,CNN1D,51.08,48.57,52.25,sit,sit→stairsup,0.00,19.36,0.978465735912323
b,hhar,CNN1D,78.02,77.71,77.88,walk,stairsdown→stand,0.00,20.16,1.003485918045044
c,hhar,CNN1D,59.76,56.48,60.66,sit,sit→stairsup,0.00,18.86,0.9956859946250916
d,hhar,CNN1D,61.52,57.05,58.83,walk,walk→stairsdown,0.00,20.54,0.9598369598388672
e,hhar,CNN1D,54.68,52.13,54.38,walk,stairsdown→bike,0.00,19.56,0.9885141253471376
f,hhar,CNN1D,65.50,61.72,64.55,walk,walk→stairsdown,0.00,18.62,0.998615860939026
g,hhar,CNN1D,60.20,58.17,59.56,stand,stairsdown→walk,0.00,21.50,0.978895664215088
h,hhar,CNN1D,60.66,62.33,61.21,walk,bike→walk,0.00,18.60,0.9799014329910278
i,hhar,CNN1D,60.38,56.98,59.78,stairsup,stairsup→bike,0.00,19.90,0.9665021300315856
a,hhar,Flatten_LSTM,40.40,33.94,41.12,sit,sit→stairsup,0.00,19.36,0.978465735912323
b,hhar,Flatten_LSTM,59.60,55.91,60.37,walk,stairsdown→stand,0.00,20.16,1.003485918045044
c,hhar,Flatten_LSTM,43.80,39.57,46.30,walk,stairsdown→stand,0.00,18.86,0.9956859946250916
d,hhar,Flatten_LSTM,58.60,53.52,59.33,walk,walk→stand,0.00,20.54,0.9598369598388672
e,hhar,Flatten_LSTM,60.60,56.15,57.59,stand,stand→stairsdown,0.00,19.56,0.9885141253471376
f,hhar,Flatten_LSTM,50.80,47.09,50.86,walk,walk→stairsdown,0.00,18.62,0.998615860939026
g,hhar,Flatten_LSTM,58.40,52.97,55.49,walk,stand→stairsdown,0.00,21.50,0.978895664215088
h,hhar,Flatten_LSTM,53.40,49.74,55.05,walk,walk→stand,0.00,18.60,0.9799014329910278
i,hhar,Flatten_LSTM,50.00,43.69,49.98,stairsdown,stairsdown→bike,0.00,19.90,0.9665021300315856
a,hhar,Improved_GNN_LSTM,44.20,33.55,42.44,stand,sit→stairsup,0.00,19.36,0.978465735912323
b,hhar,Improved_GNN_LSTM,64.40,54.99,62.01,stand,walk→stairsdown,0.00,20.16,1.003485918045044
c,hhar,Improved_GNN_LSTM,46.40,34.45,46.06,stand,walk→stairsdown,0.00,18.86,0.9956859946250916
d,hhar,Improved_GNN_LSTM,62.20,58.04,60.84,walk,walk→stairsdown,0.00,20.54,0.9598369598388672
e,hhar,Improved_GNN_LSTM,46.60,36.50,46.75,stand,stairsdown→walk,0.00,19.56,0.9885141253471376
f,hhar,Improved_GNN_LSTM,47.60,43.35,48.06,stand,stairsdown→walk,0.00,18.62,0.998615860939026
g,hhar,Improved_GNN_LSTM,60.00,52.78,56.86,stand,stairsdown→bike,0.00,21.50,0.978895664215088
h,hhar,Improved_GNN_LSTM,51.20,46.26,52.05,walk,walk→stand,0.00,18.60,0.9799014329910278
i,hhar,Improved_GNN_LSTM,58.00,51.23,58.59,stand,stairsdown→bike,0.00,19.90,0.9665021300315856
