Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
pamap2,101,0.00,N/A,CNN1D,76.86,76.86,0.00,78.04,78.04,0.00
pamap2,101,1.00,classifier_head_only,CNN1D,76.86,81.22,4.36,78.04,82.49,4.45
pamap2,101,1.00,full_model,CNN1D,76.86,82.42,5.56,78.04,83.28,5.24
pamap2,101,5.00,classifier_head_only,CNN1D,76.86,81.85,4.99,78.04,82.99,4.95
pamap2,101,5.00,full_model,CNN1D,76.86,86.79,9.93,78.04,87.34,9.30
pamap2,101,10.00,classifier_head_only,CNN1D,76.86,81.30,4.44,78.04,82.54,4.50
pamap2,101,10.00,full_model,CNN1D,76.86,88.24,11.38,78.04,88.46,10.42
pamap2,102,0.00,N/A,CNN1D,72.70,72.70,0.00,75.48,75.48,0.00
pamap2,102,1.00,classifier_head_only,CNN1D,72.70,71.14,-1.56,75.48,74.30,-1.18
pamap2,102,1.00,full_model,CNN1D,72.70,69.01,-3.69,75.48,71.99,-3.48
pamap2,102,5.00,classifier_head_only,CNN1D,72.70,73.53,0.83,75.48,76.21,0.74
pamap2,102,5.00,full_model,CNN1D,72.70,79.46,6.77,75.48,80.57,5.10
pamap2,102,10.00,classifier_head_only,CNN1D,72.70,76.20,3.50,75.48,78.62,3.15
pamap2,102,10.00,full_model,CNN1D,72.70,85.78,13.09,75.48,86.30,10.83
pamap2,103,0.00,N/A,CNN1D,79.48,79.48,0.00,63.85,63.85,0.00
pamap2,103,1.00,classifier_head_only,CNN1D,79.48,65.97,-13.51,63.85,48.72,-15.13
pamap2,103,1.00,full_model,CNN1D,79.48,64.25,-15.23,63.85,47.99,-15.86
pamap2,103,5.00,classifier_head_only,CNN1D,79.48,83.32,3.84,63.85,61.58,-2.26
pamap2,103,5.00,full_model,CNN1D,79.48,86.91,7.42,63.85,64.07,0.22
pamap2,103,10.00,classifier_head_only,CNN1D,79.48,87.98,8.50,63.85,79.27,15.42
pamap2,103,10.00,full_model,CNN1D,79.48,93.50,14.02,63.85,83.63,19.78
pamap2,104,0.00,N/A,CNN1D,75.82,75.82,0.00,75.61,75.61,0.00
pamap2,104,1.00,classifier_head_only,CNN1D,75.82,77.95,2.13,75.61,70.25,-5.36
pamap2,104,1.00,full_model,CNN1D,75.82,78.63,2.81,75.61,70.87,-4.74
pamap2,104,5.00,classifier_head_only,CNN1D,75.82,80.19,4.37,75.61,79.92,4.30
pamap2,104,5.00,full_model,CNN1D,75.82,82.18,6.36,75.61,74.47,-1.15
pamap2,104,10.00,classifier_head_only,CNN1D,75.82,81.44,5.61,75.61,81.35,5.74
pamap2,104,10.00,full_model,CNN1D,75.82,89.11,13.29,75.61,89.13,13.52
pamap2,105,0.00,N/A,CNN1D,83.99,83.99,0.00,84.57,84.57,0.00
pamap2,105,1.00,classifier_head_only,CNN1D,83.99,85.31,1.32,84.57,84.79,0.22
pamap2,105,1.00,full_model,CNN1D,83.99,86.65,2.66,84.57,85.99,1.42
pamap2,105,5.00,classifier_head_only,CNN1D,83.99,88.04,4.05,84.57,88.68,4.11
pamap2,105,5.00,full_model,CNN1D,83.99,89.53,5.54,84.57,90.07,5.50
pamap2,105,10.00,classifier_head_only,CNN1D,83.99,88.95,4.96,84.57,89.34,4.77
pamap2,105,10.00,full_model,CNN1D,83.99,93.53,9.54,84.57,93.83,9.26
pamap2,106,0.00,N/A,CNN1D,85.96,85.96,0.00,78.59,78.59,0.00
pamap2,106,1.00,classifier_head_only,CNN1D,85.96,88.16,2.21,78.59,80.87,2.29
pamap2,106,1.00,full_model,CNN1D,85.96,88.43,2.47,78.59,81.05,2.46
pamap2,106,5.00,classifier_head_only,CNN1D,85.96,92.12,6.17,78.59,84.52,5.94
pamap2,106,5.00,full_model,CNN1D,85.96,93.81,7.85,78.59,85.96,7.37
pamap2,106,10.00,classifier_head_only,CNN1D,85.96,90.08,4.12,78.59,89.97,11.39
pamap2,106,10.00,full_model,CNN1D,85.96,94.04,8.08,78.59,94.03,15.44
pamap2,107,0.00,N/A,CNN1D,87.57,87.57,0.00,86.75,86.75,0.00
pamap2,107,1.00,classifier_head_only,CNN1D,87.57,84.70,-2.87,86.75,75.43,-11.31
pamap2,107,1.00,full_model,CNN1D,87.57,84.81,-2.76,86.75,82.29,-4.45
pamap2,107,5.00,classifier_head_only,CNN1D,87.57,88.84,1.27,86.75,80.53,-6.22
pamap2,107,5.00,full_model,CNN1D,87.57,91.47,3.90,86.75,90.62,3.87
pamap2,107,10.00,classifier_head_only,CNN1D,87.57,90.07,2.50,86.75,89.81,3.06
pamap2,107,10.00,full_model,CNN1D,87.57,93.77,6.20,86.75,93.70,6.95
pamap2,108,0.00,N/A,CNN1D,33.15,33.15,0.00,28.33,28.33,0.00
pamap2,108,1.00,classifier_head_only,CNN1D,33.15,47.56,14.41,28.33,40.43,12.11
pamap2,108,1.00,full_model,CNN1D,33.15,58.11,24.96,28.33,49.58,21.26
pamap2,108,5.00,classifier_head_only,CNN1D,33.15,54.38,21.23,28.33,45.87,17.54
pamap2,108,5.00,full_model,CNN1D,33.15,68.27,35.12,28.33,59.63,31.30
pamap2,108,10.00,classifier_head_only,CNN1D,33.15,62.84,29.68,28.33,54.43,26.10
pamap2,108,10.00,full_model,CNN1D,33.15,81.83,48.68,28.33,76.98,48.65
pamap2,109,0.00,N/A,CNN1D,75.00,75.00,0.00,17.14,17.14,0.00
pamap2,109,1.00,classifier_head_only,CNN1D,75.00,25.53,-49.47,17.14,5.81,-11.33
pamap2,109,1.00,full_model,CNN1D,75.00,27.66,-47.34,17.14,6.19,-10.95
pamap2,109,5.00,classifier_head_only,CNN1D,75.00,58.70,-16.30,17.14,12.33,-4.81
pamap2,109,5.00,full_model,CNN1D,75.00,65.22,-9.78,17.14,11.28,-5.86
pamap2,109,10.00,classifier_head_only,CNN1D,75.00,65.91,-9.09,17.14,15.89,-1.25
pamap2,109,10.00,full_model,CNN1D,75.00,68.18,-6.82,17.14,16.22,-0.93
pamap2,101,0.00,N/A,Flatten_LSTM,85.49,85.49,0.00,85.38,85.38,0.00
pamap2,101,1.00,classifier_head_only,Flatten_LSTM,85.49,85.94,0.45,85.38,85.83,0.45
pamap2,101,1.00,full_model,Flatten_LSTM,85.49,83.33,-2.16,85.38,82.23,-3.14
pamap2,101,5.00,classifier_head_only,Flatten_LSTM,85.49,86.41,0.92,85.38,86.36,0.99
pamap2,101,5.00,full_model,Flatten_LSTM,85.49,89.67,4.18,85.38,90.42,5.05
pamap2,101,10.00,classifier_head_only,Flatten_LSTM,85.49,86.21,0.71,85.38,85.50,0.12
pamap2,101,10.00,full_model,Flatten_LSTM,85.49,88.51,3.01,85.38,86.88,1.50
pamap2,102,0.00,N/A,Flatten_LSTM,76.47,76.47,0.00,67.89,67.89,0.00
pamap2,102,1.00,classifier_head_only,Flatten_LSTM,76.47,76.73,0.26,67.89,68.65,0.76
pamap2,102,1.00,full_model,Flatten_LSTM,76.47,79.70,3.23,67.89,74.02,6.13
pamap2,102,5.00,classifier_head_only,Flatten_LSTM,76.47,77.84,1.36,67.89,68.55,0.66
