Dataset,Window_Type,Evaluation_Protocol,Model,Accuracy,Macro_F1,Balanced_Accuracy,Leakage_Gap
hhar,non_overlapping,loso,CNN1D,0.6185333333333334,0.6143378999972714,0.6117166932771896,
hhar,non_overlapping,loso,Flatten_LSTM,0.5402222222222223,0.5232381234467419,0.542032143170903,
hhar,non_overlapping,loso,Improved_GNN_LSTM,0.518,0.4845006477731259,0.5035142919042863,
hhar,non_overlapping,random_holdout,CNN1D,0.9048888888888889,0.9025773265183833,0.9032108183148946,0.2863555555555555
hhar,non_overlapping,random_holdout,Flatten_LSTM,0.9011111111111111,0.9014454387618498,0.9014505088667181,0.3608888888888888
hhar,non_overlapping,random_holdout,Improved_GNN_LSTM,0.9366666666666666,0.9365224032723902,0.9367040308683866,0.41866666666666663
hhar,overlapping,loso,CNN1D,0.6131111111111112,0.6066841883099187,0.6074309128178971,
hhar,overlapping,loso,Flatten_LSTM,0.5284444444444445,0.5002440660184072,0.5285757789842283,
hhar,overlapping,loso,Improved_GNN_LSTM,0.534,0.5088553702795129,0.5214179247046221,
hhar,overlapping,random_holdout,CNN1D,0.9072222222222223,0.9037115396478805,0.9035953783318994,0.2941111111111111
hhar,overlapping,random_holdout,Flatten_LSTM,0.8677777777777778,0.8685741791347824,0.8675328564605004,0.33933333333333326
hhar,overlapping,random_holdout,Improved_GNN_LSTM,0.9144444444444444,0.9133219073546277,0.9143182265013944,0.38044444444444436
