Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
hhar,a,0.0,none,CNN1D,0.5108,0.5108,0.0,0.4856923415457971,0.4856923415457971,0.0
hhar,a,0.01,classifier_head_only,CNN1D,0.5108,0.4975757575757575,-0.0132242424242424,0.4856923415457971,0.4635475159894964,-0.0221448255563007
hhar,a,0.01,full_model,CNN1D,0.5108,0.5907070707070707,0.0799070707070707,0.4856923415457971,0.5692072711094734,0.0835149295636762
hhar,a,0.05,classifier_head_only,CNN1D,0.5108,0.7271578947368421,0.216357894736842,0.4856923415457971,0.709469658918425,0.2237773173726278
hhar,a,0.05,full_model,CNN1D,0.5108,0.7957894736842105,0.2849894736842104,0.4856923415457971,0.7733436297022841,0.2876512881564869
hhar,a,0.1,classifier_head_only,CNN1D,0.5108,0.7764444444444445,0.2656444444444444,0.4856923415457971,0.758963352056171,0.2732710105103739
hhar,a,0.1,full_model,CNN1D,0.5108,0.8446666666666667,0.3338666666666666,0.4856923415457971,0.8271240129371816,0.3414316713913845
hhar,b,0.0,none,CNN1D,0.7802,0.7802,0.0,0.7771303771931831,0.7771303771931831,0.0
hhar,b,0.01,classifier_head_only,CNN1D,0.7802,0.8193939393939393,0.0391939393939393,0.7771303771931831,0.811603434616706,0.0344730574235229
hhar,b,0.01,full_model,CNN1D,0.7802,0.8177777777777778,0.0375777777777778,0.7771303771931831,0.8074791591172236,0.0303487819240404
hhar,b,0.05,classifier_head_only,CNN1D,0.7802,0.8581052631578947,0.0779052631578947,0.7771303771931831,0.8501346990434661,0.0730043218502829
hhar,b,0.05,full_model,CNN1D,0.7802,0.867578947368421,0.087378947368421,0.7771303771931831,0.859500234588107,0.0823698573949238
hhar,b,0.1,classifier_head_only,CNN1D,0.7802,0.8684444444444445,0.0882444444444444,0.7771303771931831,0.8617777844637079,0.0846474072705247
hhar,b,0.1,full_model,CNN1D,0.7802,0.8875555555555555,0.1073555555555555,0.7771303771931831,0.881182278689875,0.1040519014966918
hhar,c,0.0,none,CNN1D,0.5976,0.5976,0.0,0.564839226841732,0.564839226841732,0.0
