Dataset,Window_Type,Evaluation_Protocol,Model,Accuracy,Macro_F1,Balanced_Accuracy,Leakage_Gap
pamap2,non_overlapping,loso,CNN1D,0.552,0.5093377129308853,0.5299842062914383,
pamap2,non_overlapping,loso,Flatten_LSTM,0.8101604278074866,0.7457069704750494,0.7484563362138125,
pamap2,non_overlapping,loso,Improved_GNN_LSTM,0.8221925133689839,0.7382168110114158,0.7483328782359376,
pamap2,non_overlapping,random_holdout,CNN1D,0.9694352159468439,0.9724731576275811,0.9706945980107236,0.41743521594684385
pamap2,non_overlapping,random_holdout,Flatten_LSTM,0.8859060402684564,0.789972449415168,0.8122507122507123,0.07574561246096978
pamap2,non_overlapping,random_holdout,Improved_GNN_LSTM,0.9395973154362416,0.9199582748308387,0.9175976800976801,0.11740480206725767
pamap2,overlapping,loso,CNN1D,0.7395840255166456,0.7469340415499759,0.7395347077739758,
pamap2,overlapping,loso,Flatten_LSTM,0.7916111850865513,0.7590476947736481,0.7525515666320143,
pamap2,overlapping,loso,Improved_GNN_LSTM,0.8162450066577897,0.7419518180947321,0.7562237610372028,
pamap2,overlapping,random_holdout,CNN1D,0.9936856098371551,0.9941857574536265,0.9935253249684157,0.25410158432050955
pamap2,overlapping,random_holdout,Flatten_LSTM,0.9266666666666666,0.9166880013610319,0.9166959480456857,0.13505548158011538
pamap2,overlapping,random_holdout,Improved_GNN_LSTM,0.94,0.9352946384786862,0.9369172013094578,0.1237549933422103
