Dataset,Subject,Calibration_Percentage,Fine_Tuning_Strategy,Model,Uncalibrated_Accuracy,Calibrated_Accuracy,Accuracy_Improvement,Uncalibrated_Macro_F1,Calibrated_Macro_F1,Macro_F1_Improvement
hhar,a,0.0,none,CNN1D,0.5108,0.5108,0.0,0.48569234154579716,0.48569234154579716,0.0
hhar,a,0.01,classifier_head_only,CNN1D,0.5108,0.49757575757575756,-0.013224242424242472,0.48569234154579716,0.46354751598949645,-0.022144825556300707
hhar,a,0.01,full_model,CNN1D,0.5108,0.5907070707070707,0.0799070707070707,0.48569234154579716,0.5692072711094734,0.08351492956367629
hhar,a,0.05,classifier_head_only,CNN1D,0.5108,0.7271578947368421,0.21635789473684208,0.48569234154579716,0.709469658918425,0.2237773173726278
hhar,a,0.05,full_model,CNN1D,0.5108,0.7957894736842105,0.28498947368421046,0.48569234154579716,0.7733436297022841,0.28765128815648694
hhar,a,0.1,classifier_head_only,CNN1D,0.5108,0.7764444444444445,0.26564444444444446,0.48569234154579716,0.758963352056171,0.2732710105103739
hhar,a,0.1,full_model,CNN1D,0.5108,0.8446666666666667,0.33386666666666664,0.48569234154579716,0.8271240129371816,0.3414316713913845
hhar,b,0.0,none,CNN1D,0.7802,0.7802,0.0,0.7771303771931831,0.7771303771931831,0.0
hhar,b,0.01,classifier_head_only,CNN1D,0.7802,0.8193939393939393,0.03919393939393934,0.7771303771931831,0.811603434616706,0.03447305742352291
hhar,b,0.01,full_model,CNN1D,0.7802,0.8177777777777778,0.03757777777777782,0.7771303771931831,0.8074791591172236,0.030348781924040447
hhar,b,0.05,classifier_head_only,CNN1D,0.7802,0.8581052631578947,0.0779052631578947,0.7771303771931831,0.8501346990434661,0.07300432185028294
hhar,b,0.05,full_model,CNN1D,0.7802,0.867578947368421,0.087378947368421,0.7771303771931831,0.859500234588107,0.08236985739492386
hhar,b,0.1,classifier_head_only,CNN1D,0.7802,0.8684444444444445,0.08824444444444446,0.7771303771931831,0.8617777844637079,0.08464740727052478
hhar,b,0.1,full_model,CNN1D,0.7802,0.8875555555555555,0.10735555555555554,0.7771303771931831,0.881182278689875,0.10405190149669186
hhar,c,0.0,none,CNN1D,0.5976,0.5976,0.0,0.564839226841732,0.564839226841732,0.0
hhar,c,0.01,classifier_head_only,CNN1D,0.5976,0.6022222222222222,0.004622222222222194,0.564839226841732,0.5713468356269545,0.006507608785222496
hhar,c,0.01,full_model,CNN1D,0.5976,0.6048484848484849,0.007248484848484837,0.564839226841732,0.569013760388721,0.004174533546988934
hhar,c,0.05,classifier_head_only,CNN1D,0.5976,0.6372631578947369,0.039663157894736845,0.564839226841732,0.6239799277667045,0.05914070092497248
hhar,c,0.05,full_model,CNN1D,0.5976,0.716421052631579,0.11882105263157894,0.564839226841732,0.7148604304871542,0.15002120364542215
hhar,c,0.1,classifier_head_only,CNN1D,0.5976,0.6762222222222222,0.07862222222222215,0.564839226841732,0.6686377808466206,0.10379855400488858
hhar,c,0.1,full_model,CNN1D,0.5976,0.7931111111111111,0.19551111111111108,0.564839226841732,0.7945884267233981,0.2297491998816661
