dataset,model,accuracy,macro_f1,balanced_acc,source_section
PAMAP2,SVM,0.7918430207354221,0.7243745867174064,0.7918430207354221,PAMAP2
PAMAP2,Random Forest,0.7748503351608776,0.7121198698520115,0.7748503351608776,PAMAP2
PAMAP2,XGBoost,0.8075530116065551,0.7314193261034179,0.8075530116065551,PAMAP2
PAMAP2,GNN-only,0.720579440494385,0.7151143620184452,0.7079795290308009,PAMAP2
PAMAP2,LSTM,0.5938600571466542,0.5951174950440091,0.5895552625644496,PAMAP2
PAMAP2,GNN+LSTM,0.6418109187749668,0.5874116544355167,0.6276164029151822,PAMAP2
PAMAP2,CNN1D,0.7859658449066383,0.7937544136778308,0.789485920375876,PAMAP2
HHAR,SVM,0.5812345277170711,0.5667908781230337,0.5812345277170711,HHAR
HHAR,Random Forest,0.5630355600109183,0.5480511467368162,0.5630355600109183,HHAR
HHAR,XGBoost,0.590036349681705,0.5778939417104311,0.590036349681705,HHAR
HHAR,GNN-only,0.5894996887216027,0.5864393837569848,0.5877130497303314,HHAR
HHAR,CNN1D,0.6626534118532174,0.658549819480882,0.6602388294914938,HHAR
PAMAP2,SVM,0.7918430207354221,,,pamap2
PAMAP2,Random Forest,0.7748503351608776,,,pamap2
PAMAP2,XGBoost,0.8075530116065551,,,pamap2
PAMAP2,CNN1D,0.7859658449066383,,,pamap2
PAMAP2,LSTM-only,0.5938600571466542,,,pamap2
PAMAP2,GNN-only (fixed),0.720579440494385,,,pamap2
PAMAP2,GNN+LSTM,0.6418109187749668,,,pamap2
PAMAP2,GNN (learnable),0.6939996013024121,,,pamap2
PAMAP2,Flatten+LSTM,0.8452779638312123,,,pamap2
HHAR,SVM,0.5812345277170711,,,hhar
HHAR,Random Forest,0.5630355600109183,,,hhar
HHAR,XGBoost,0.590036349681705,,,hhar
HHAR,CNN1D,0.6734458628571177,,,hhar
