dataset,model,experiment_type,split_protocol,accuracy,accuracy_std,macro_f1,macro_f1_std,balanced_acc
HHAR,RandomForest,baseline,LOSO,0.5630355600109183,,0.5480511467368162,,
HHAR,SVM,baseline,LOSO,0.5812345277170711,,0.5667908781230337,,
HHAR,XGBoost,baseline,LOSO,0.590036349681705,,0.5778939417104311,,
HHAR,GNN,deep,LOSO,0.5931777777777778,0.14465254752742118,0.595658309827407,0.14122890885283051,0.5903282478593505
HHAR,GNN+LSTM,deep,LOSO,0.5751111111111111,0.11141159369597288,0.5492722503699988,0.1262849820439777,0.5583062060613007
HHAR,LSTM,deep,LOSO,0.5199555555555555,0.10674229726163549,0.52226492357004,0.11235215388663382,0.5200690624827691
HHAR,CNN1D,holdout,80/20,0.8943333333333333,,0.8902673195084935,,0.8907742404137059
HHAR,GNN,holdout,80/20,0.8573333333333333,,0.8512003313791493,,0.8507098251912449
HHAR,LSTM,holdout,80/20,0.7832222222222223,,0.7765649818686167,,0.7772042743634525
HHAR,RF,holdout,80/20,0.9067777777777778,,0.9031392855468462,,0.9024465328918314
HHAR,SVM,holdout,80/20,0.798,,0.7885093937351915,,0.7888109475723613
HHAR,XGBOOST,holdout,80/20,0.886,,0.881814538407571,,0.8811155205794042
PAMAP2,RandomForest,baseline,LOSO,0.7748503351608776,,0.7121198698520115,,
PAMAP2,SVM,baseline,LOSO,0.7918430207354221,,0.7243745867174064,,
PAMAP2,XGBoost,baseline,LOSO,0.8075530116065551,,0.7314193261034179,,
PAMAP2,GNN,deep,LOSO,0.682370921655924,0.16967945222122086,0.6676103170762083,0.19857412547190073,0.6646265106035547
PAMAP2,GNN+LSTM,deep,LOSO,0.6384820239680427,0.21590461525808247,0.5844542398879878,0.1996690568868228,0.5950044954475915
PAMAP2,LSTM,deep,LOSO,0.6076815735264801,0.1044341766661311,0.6046360223449487,0.16979024450532865,0.599642858107338
PAMAP2,Flatten+LSTM,ablation,LOSO,0.8452779638312123,,0.7935024654161524,,0.788622203642234
PAMAP2,GNN (fixed adj),ablation,LOSO,0.6911422685892751,,0.6783465095020177,,0.6716893935580069
PAMAP2,GNN (learnable adj),ablation,LOSO,0.6939996013024121,,0.6889921757284085,,0.6805119653613801
PAMAP2,CNN1D,holdout,80/20,0.9933554817275747,,0.9938482317365901,,0.9940664681222615
PAMAP2,GNN,holdout,80/20,0.8847176079734219,,0.8874468579390581,,0.884366084540674
PAMAP2,LSTM,holdout,80/20,0.7458471760797342,,0.7432263793068278,,0.7389724387428765
PAMAP2,RF,holdout,80/20,0.9604651162790697,,0.9640549193414606,,0.960027775633492
PAMAP2,SVM,holdout,80/20,0.9651162790697675,,0.9665549375527419,,0.9646080695301031
PAMAP2,XGBOOST,holdout,80/20,0.9833887043189369,,0.9847361668739113,,0.9838345653229039
