dataset,model,accuracy,accuracy_std,macro_f1,macro_f1_std,balanced_acc
PAMAP2,SVM,0.7918,0.1806,0.7244,0.2525,
PAMAP2,Random Forest,0.7749,0.1780,0.7121,0.2501,
PAMAP2,XGBoost,0.8076,0.1285,0.7314,0.2398,
PAMAP2,CNN1D,0.7860,0.0000,0.7938,0.0000,0.7895
PAMAP2,LSTM-only,0.6077,0.1044,0.6046,0.1698,0.5996
PAMAP2,GNN-only,0.6824,0.1697,0.6676,0.1986,0.6646
PAMAP2,GNN+LSTM (proposed),0.6385,0.2159,0.5845,0.1997,0.5950
PAMAP2,GNN (learnable adj.),0.6940,0.0000,0.6890,0.0000,0.6805
PAMAP2,Flatten + LSTM (no GCN),0.8453,0.0000,0.7935,0.0000,0.7886
HHAR,SVM,0.5812,0.0881,0.5668,0.0949,
HHAR,Random Forest,0.5630,0.0896,0.5481,0.1042,
HHAR,XGBoost,0.5900,0.0829,0.5779,0.0942,
HHAR,CNN1D,0.6627,0.0000,0.6585,0.0000,0.6602
HHAR,LSTM-only,0.5200,0.1067,0.5223,0.1124,0.5201
HHAR,GNN-only,0.5932,0.1447,0.5957,0.1412,0.5903
HHAR,GNN+LSTM (proposed),0.5751,0.1114,0.5493,0.1263,0.5583
